Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
45,2249.5,0.02,4499.0,0.22,0.2,497.0,0.76,993.0,1.01,0.24,2254.5,0.01,4509.0,0.22,0.21,436.44,0.94,872.0,1.15,0.21
46,2292.0,0.01,4584.0,0.22,0.2,476.5,0.81,953.0,1.04,0.24,2360.0,0.02,4720.0,0.21,0.19,435.0,0.94,870.0,1.14,0.21
47,2282.78,0.02,4565.0,0.22,0.2,473.47,0.81,946.0,1.06,0.24,2367.5,0.02,4735.0,0.21,0.19,431.93,0.95,863.0,1.15,0.2
48,2268.5,0.01,4537.0,0.22,0.2,446.45,0.88,892.0,1.12,0.24,2386.5,0.01,4773.0,0.21,0.19,435.5,0.94,871.0,1.14,0.2
49,2201.0,0.01,4402.0,0.22,0.21,438.0,0.89,876.0,1.14,0.25,2316.0,0.02,4632.0,0.21,0.2,428.43,0.96,856.0,1.16,0.2
50,2332.33,0.01,4664.0,0.21,0.2,417.5,0.97,835.0,1.2,0.23,2362.0,0.02,4724.0,0.21,0.19,414.0,1.01,828.0,1.21,0.2
51,2285.5,0.01,4571.0,0.22,0.2,413.41,0.97,826.0,1.2,0.24,2378.0,0.01,4756.0,0.21,0.19,436.0,0.94,872.0,1.14,0.2
52,2266.5,0.01,4533.0,0.22,0.2,411.41,0.98,822.0,1.21,0.24,2346.85,0.02,4693.0,0.21,0.19,438.44,0.94,876.0,1.14,0.2
53,2142.14,0.01,4284.0,0.23,0.22,405.41,1.02,810.0,1.23,0.21,2315.0,0.02,4630.0,0.21,0.2,423.0,0.98,846.0,1.18,0.2
54,2207.5,0.02,4415.0,0.22,0.21,398.1,1.03,796.0,1.25,0.21,2309.31,0.02,4618.0,0.21,0.2,425.0,0.97,850.0,1.17,0.21
55,2296.0,0.02,4592.0,0.21,0.2,410.5,1.01,821.0,1.22,0.21,2389.0,0.01,4778.0,0.21,0.19,446.45,0.92,892.0,1.12,0.2
56,2281.0,0.02,4562.0,0.22,0.2,408.41,1.01,816.0,1.22,0.21,2394.89,0.01,4789.0,0.21,0.19,437.0,0.95,874.0,1.14,0.2
57,2259.76,0.01,4519.0,0.22,0.2,405.5,1.0,811.0,1.23,0.23,2337.0,0.01,4674.0,0.21,0.2,453.0,0.9,906.0,1.1,0.2
58,2204.5,0.02,4409.0,0.22,0.21,402.9,1.0,805.0,1.24,0.24,2271.5,0.01,4543.0,0.22,0.2,458.0,0.89,916.0,1.09,0.2
59,2329.83,0.02,4659.0,0.21,0.19,400.4,1.01,800.0,1.24,0.24,2326.33,0.02,4652.0,0.21,0.2,435.43,0.95,870.0,1.14,0.2
60,2089.5,0.02,4179.0,0.24,0.21,395.5,1.03,791.0,1.26,0.23,2329.0,0.02,4658.0,0.21,0.2,439.0,0.93,878.0,1.13,0.2
61,2137.0,0.02,4274.0,0.23,0.21,405.91,1.01,811.0,1.23,0.22,2403.5,0.01,4807.0,0.21,0.19,438.0,0.93,876.0,1.14,0.2
62,2227.23,0.01,4454.0,0.22,0.21,389.11,1.05,778.0,1.28,0.23,2284.5,0.02,4569.0,0.22,0.2,450.0,0.91,900.0,1.11,0.2
63,2246.0,0.02,4492.0,0.22,0.2,400.9,1.03,801.0,1.25,0.22,2360.0,0.02,4720.0,0.21,0.19,442.44,0.92,884.0,1.13,0.2
64,2319.5,0.02,4639.0,0.21,0.2,443.0,0.9,886.0,1.13,0.22,2352.85,0.02,4705.0,0.21,0.19,446.0,0.91,892.0,1.12,0.21
65,2256.76,0.02,4513.0,0.22,0.2,619.12,0.58,1238.0,0.81,0.23,2353.0,0.02,4706.0,0.21,0.19,442.5,0.92,885.0,1.12,0.2
66,2270.0,0.02,4540.0,0.22,0.2,570.07,0.65,1140.0,0.87,0.23,2342.5,0.02,4685.0,0.21,0.19,440.94,0.93,881.0,1.13,0.2
67,2219.5,0.02,4439.0,0.22,0.21,506.0,0.76,1012.0,0.99,0.23,2284.0,0.02,4568.0,0.22,0.2,433.5,0.93,867.0,1.15,0.22
68,2286.29,0.01,4572.0,0.22,0.2,528.5,0.72,1057.0,0.94,0.23,2352.0,0.01,4704.0,0.21,0.2,447.5,0.88,895.0,1.12,0.23
69,2262.0,0.02,4524.0,0.22,0.2,491.99,0.79,983.0,1.01,0.22,2386.0,0.01,4772.0,0.21,0.19,422.42,0.96,844.0,1.18,0.22
